Titulo;Categoria;Link
Acta de evaluación, retención y descarte de documentación;Datos varios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/datos-varios/acta-de-evaluacion-retencion-y-descarte-de-documentacion/2790
Actividades de polideportivos;Polideportivos municipales;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/polideportivos-municipales/actividades-de-polideportivos/259
Afluencia turística en Hoteles, apart-hoteles y hostales;Turismo;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/turismo/afluencia-turistica-en-hoteles-apart-hoteles-y-hostales/138
Agencias de viajes y turismo, áreas de reuniones y hoteles;Turismo;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/turismo/agencias-de-viajes-y-turismo-areas-de-reuniones-y-hoteles/151
Anuario Cultural;Cultura;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/cultura/anuario-cultural/79
API Planes de metas;Plan de Metas;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/plan-de-metas/api-planes-de-metas/43
Aplicaciones móviles del municipio;Sociedad;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/sociedad/aplicaciones-moviles-del-municipio/160
Arbolado municipal;Ambiente;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/ambiente/arbolado-municipal/2770
Áreas de CPC;Datos Geográficos y mapas;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/datos-geograficos-y-mapas/areas-de-cpc/110
Áreas de espacios verdes;Ambiente;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/ambiente/areas-de-espacios-verdes/117
Ausentismo del personal Municipal;Recursos Humanos;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/recursos-humanos/ausentismo-del-personal-municipal/250
Autoridades;Centro Vecinales;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/centro-vecinales/autoridades/51
Barrios;Datos Geográficos y mapas;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/datos-geograficos-y-mapas/barrios/118
Beneficiarios según sexo por sector;Seguridad Social;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/seguridad-social/beneficiarios-segun-sexo-por-sector/35
Beneficiarios +simple Tablets de Nación;Seguridad Social;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/seguridad-social/beneficiarios-simple-tablets-de-nacion/242
Bicicleterías de la Ciudad de Córdoba;Transporte;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/transporte/bicicleterias-de-la-ciudad-de-cordoba/170
Bono internacional;Fuentes de financiamiento;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/fuentes-de-financiamiento/bono-internacional/199
Calendario de apertura de licitaciones;Compras y Contrataciones;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/compras-y-contrataciones/calendario-de-apertura-de-licitaciones/2
Campanas contenedoras PET;Ambiente;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/ambiente/campanas-contenedoras-pet/2772
Canales de riego;Datos Geográficos y mapas;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/datos-geograficos-y-mapas/canales-de-riego/119
Cantidad de arribos de pasajeros al Aeropuerto de Córdoba;Turismo;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/turismo/cantidad-de-arribos-de-pasajeros-al-aeropuerto-de-cordoba/137
Cantidad de arribos en la Terminal de Ómnibus;Turismo;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/turismo/cantidad-de-arribos-en-la-terminal-de-omnibus/139
Cantidad de barrios servidos con recolección diferenciada;Higiene Urbana;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/higiene-urbana/cantidad-de-barrios-servidos-con-recoleccion-diferenciada/154
Cantidad de prestadores de transportes escolares;Transporte escolar;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/transporte-escolar/cantidad-de-prestadores-de-transportes-escolares/23
Cantidad de turistas colonias y camping;Turismo;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/turismo/cantidad-de-turistas-colonias-y-camping/152
Cantidad de unidades en el Sistema de Transporte Urbano Municipal;Transporte urbano;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/transporte-urbano/cantidad-de-unidades-en-el-sistema-de-transporte-urbano-municipal/104
Cartas Marinas Electorales;Carta Marina;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/carta-marina/cartas-marinas-electorales/213
Catastro Online;Datos Geográficos y mapas;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/datos-geograficos-y-mapas/catastro-online/164
Categorías Jerárquicas de Funcionarios (Archivo API);Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/funcionarios/categorias-jerarquicas-de-funcionarios-archivo-api/41
Censo nacional 2010;Datos demográficos;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/datos-demograficos/censo-nacional-2010/271
Centros de culto de todas las religiones;Sociedad;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/sociedad/centros-de-culto-de-todas-las-religiones/147
Certificado de edificabilidad potencial transferible;Planeamiento;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/planeamiento/certificado-de-edificabilidad-potencial-transferible/2835
Cestos papeleros en la vía pública;Ambiente;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/ambiente/cestos-papeleros-en-la-via-publica/2771
